 sim_time real_time ratio_sim_real
689 202.295 1421.71 0.0503137
690 202.416 1423.71 0.0603143
691 202.525 1425.73 0.0541493
692 202.639134 1427.73 0.0570625
693 202.739 1429.73 0.0499267
694 202.838 1431.73 0.0493608
695 202.962 1433.74 0.0618051
696 203.054 1435.74 0.0459011
697 203.167 1437.75 0.0563953
698 203.266 1439.76 0.0493309
699 203.375 1441.76 0.0542623
700 203.49 1443.77 0.0572744
701 203.6 1445.81 0.0538619
702 203.709 1447.82 0.0543887
703 203.816 1449.84 0.053011
704 203.938 1451.84 0.0608932
705 204.037 1453.85 0.0491987
706 204.138 1455.86 0.0503131
707 204.252 1457.86 0.0569304
708 204.367 1459.87 0.0572574
709 204.456 1461.87 0.0444396
710 204.557 1463.88 0.0504414
711 204.672 1465.89 0.0571264
712 204.775 1467.9 0.0513108
713 204.873 1469.9 0.0489575
714 204.994 1471.91 0.0602041
715 205.093 1473.91 0.0494631
716 205.2 1475.96 0.052178
717 205.3 1477.97 0.0498357
718 205.418 1479.98 0.0587345
719 205.537 1481.98 0.059404
720 205.64 1483.99 0.0512033
721 205.746 1485.99 0.0529416
722 205.866 1488.01 0.0594916
723 205.979 1490.02 0.0561058
724 206.074 1492.02 0.0474872
725 206.188 1494.04 0.0565899
726 206.309 1496.05 0.0602881
727 206.413 1498.06 0.0516549
728 206.522 1500.07 0.0542821
729 206.638 1502.07 0.0579676
730 206.746 1504.07 0.0539839
731 206.845134 1506.07 0.0494211
732 206.96 1508.08 0.0571489
733 207.067 1510.09 0.0534406
734 207.174 1512.09 0.0534232
735 207.272 1514.09 0.0489889
736 207.377134 1516.09 0.0525113
737 207.486 1518.1 0.0541407
738 207.6 1520.27 0.0526632
739 207.709 1522.28 0.0541692
740 207.83 1524.28 0.0604022
741 207.923 1526.29 0.0464332
742 208.022 1528.29 0.0493638
743 208.14 1530.3 0.0587759
744 208.262 1532.31 0.0608114
745 208.391 1534.31 0.0642989
746 208.495 1536.31 0.0519601
747 208.619 1538.32 0.0619499
748 208.737 1540.32 0.0589845
749 208.848 1542.33 0.0551824
750 208.96 1544.33 0.0558713
751 209.052 1546.33 0.0459378
752 209.164134 1548.33 0.0560568
753 209.272 1550.34 0.0537319
754 209.396 1552.36 0.0615333
755 209.512 1554.37 0.057575
756 209.62 1556.38 0.0537346
757 209.742 1558.38 0.0609604
758 209.846 1560.38 0.0519951
759 209.961 1562.39 0.0572874
760 210.056 1564.41 0.0471653
761 210.183 1566.41 0.0633754
762 210.293 1568.42 0.0548328
763 210.394 1570.42 0.0504316
764 210.506 1572.42 0.0559115
765 210.626 1574.43 0.0595958
766 210.747 1576.45 0.0599898
767 210.852 1578.46 0.0523088
768 210.967 1580.47 0.0572545
